Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D128,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,206.412166,-237.844338,180,top
D129,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,201.982166,-240.914338,180,top
D130,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,196.932166,-241.594338,0,top
D131,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,188.212166,-240.534338,0,top
D132,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,182.502166,-244.664338,180,top
D133,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,177.447166,-248.364338,180,top
D134,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,171.892166,-252.514338,180,top
D135,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,164.602166,-257.704338,180,top
D136,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,160.862166,-260.494338,180,top
D137,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,156.162166,-263.064338,180,top
D138,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,147.407166,-266.634338,0,top
D139,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,143.082166,-268.864338,0,top
D140,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,132.277166,-273.954338,0,top
D141,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,126.192166,-267.364338,0,top
D142,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,116.967166,-262.784338,0,top
D143,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,83.332166,-267.124338,0,top
D144,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,72.507166,-258.774338,0,top
D145,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,72.627166,-265.034338,180,top
D146,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,71.977166,-252.314338,0,top
